polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 2*x^4 - 2*x^3 + 11*x^2 - 2*x + 1,9,-153/2,69,-97,411/2,-18,-47/2,1/2,0,A5,8862529
x^5 - 2*x^4 + x^3 + 13*x^2 + 4*x + 1,3/2,-201/2,-39/2,57,555/2,141/2,-33/2,3/2,0,A5,25220484
x^5 - 2*x^4 + 7*x^3 + x^2 + 4*x + 1,-27/2,-57/2,33/2,45,-21/2,-93/2,27/2,3/2,0,A5,2862864
x^5 - 2*x^4 + 8*x^3 - 7*x^2 + 2*x + 1,-16,57/2,45,-109,159/2,-81,43/2,1/2,0,A5,1656369
x^5 - 2*x^4 + 8*x^3 + x^2 + 4*x + 1,-16,-63/2,39,47,-33/2,-54,27/2,1/2,0,A5,5058001
x^5 - 2*x^4 + 9*x^3 + x^2 + 21*x + 1,-37/2,-69/2,-381/2,287,-252,-36,877/2,1/2,0,A5,964040401
x^5 - 2*x^4 + 10*x^3 + 19*x^2 + 8*x + 1,-21,-345/2,87,467,903/2,153,33/2,1/2,0,A5,889249
x^5 - 2*x^4 + 11*x^3 - 2*x^2 - 2*x + 1,-47/2,-18,411/2,-97,69,-153/2,9,1/2,0,A5,8862529
x^5 - 2*x^4 + 12*x^3 + x^2 - 4*x + 1,-26,-87/2,279,-57,207/2,-96,27/2,1/2,0,A5,11909401
x^5 - 2*x^4 + 15*x^3 + 4*x^2 + 20*x + 1,-67/2,-75,99/2,375,-396,15/2,390,1/2,0,A5,4791823729
x^5 - 2*x^4 + 18*x^3 + x^2 + 8*x + 1,-41,-123/2,369,123,-369/2,-123,123/2,41/2,0,A5,816644929
x^5 - 2*x^4 + 22*x^3 + 13*x^2 - 8*x + 1,-51,-327/2,885,435,1095/2,-321,63/2,3/2,0,A5,422179209
x^5 - 2*x^4 + 25*x^3 - 23*x^2 + 4*x + 1,-117/2,195/2,1617/2,-1119,1347/2,-651/2,147/2,3/2,0,A5,254913156
x^5 - x^4 - 23*x^3 - 2*x^2 + 7*x + 1,117/2,99/2,1371/2,116,525/2,303/2,54,1/2,0,A5,1019333329
x^5 - x^4 - 19*x^3 - 12*x^2 + 5*x + 1,97/2,237/2,897/2,466,747/2,105/2,55,1/2,0,A5,514155625
x^5 - x^4 - 18*x^3 - 7*x^2 + 5*x + 1,46,159/2,801/2,262,447/2,165/2,85/2,1/2,0,A5,247527289
x^5 - x^4 - 4*x^3 + x^2 + 9*x + 1,11,-3/2,-219/2,30,141/2,87/2,157/2,1/2,0,A5,2706025
x^5 - x^4 + 2*x^3 - 3*x^2 + 5*x + 1,-4,39/2,-147/2,-2,27/2,-75/2,65/2,1/2,0,A5,1006009
x^5 - x^4 + 3*x^3 - 8*x^2 + 15*x + 1,-13/2,111/2,-447/2,32,87/2,-405/2,245,1/2,0,A5,169754841
x^5 - x^4 + 5*x^3 - x^2 + 6*x + 1,-23/2,0,-54,7,-57/2,-93/2,77/2,1/2,1,A5,198025
x^5 - x^4 + 5*x^3 + 9*x^2 + 11*x + 1,-23/2,-75,-114,142,54,111,197/2,1/2,0,A5,69222400
x^5 - x^4 + 6*x^3 + 11*x^2 - x + 1,-14,-183/2,171/2,100,411/2,-123/2,-53/2,1/2,0,A5,41538025
x^5 - x^4 + 6*x^3 + 15*x^2 + 9*x + 1,-14,-243/2,-117/2,218,543/2,315/2,87/2,1/2,0,A5,4338889
x^5 - x^4 + 7*x^3 + 4*x^2 + 5*x + 1,-33/2,-81/2,9/2,66,-27/2,-45/2,15,3/2,0,A5,3470769
x^5 - x^4 + 8*x^3 - 5*x^2 + 15*x + 1,-19,51/2,-273/2,0,-255/2,-345/2,475/2,1/2,1,A5,6661561
x^5 - x^4 + 9*x^3 + 22*x + 1,-43/2,-27/2,-417/2,129,-282,-135/2,484,1/2,0,A5,253510084
x^5 - x^4 + 11*x^3 + 6*x^2 - x + 1,-53/2,-123/2,411/2,100,171/2,-183/2,-14,1/2,0,A5,41538025
x^5 - x^4 + 11*x^3 + 10*x^2 - 6*x + 1,-53/2,-183/2,573/2,153,264,-345/2,11,1/2,0,A5,72046144
x^5 - x^4 + 15*x^3 - 6*x^2 + x + 1,-73/2,45/2,627/2,-198,93/2,-243/2,16,1/2,0,A5,81090025
