polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 + 9*x^4 + 25*x^3 + 17*x^2 - 7*x + 1,13/2,-366,561,1266,813,210,37/2,1/2,0,D(5),1926544
x^5 + 10*x^4 - 21*x^3 + 12*x^2 - 2*x + 1,-26,243/2,3,-389,1023/2,-405,305/2,1/2,0,D(5),50225569
x^5 + 10*x^4 - 11*x^3 + 17*x^2 - 2*x + 1,-77/2,63/2,501/2,-259,-87/2,-585/2,255/2,1/2,0,D(5),953080384
x^5 + 10*x^4 - 7*x^3 - 25*x^2 + x + 1,127/2,15,798,255,867/2,165/2,235/2,1/2,0,D(5),6890162049
x^5 + 10*x^4 - 5*x^3 - 5*x^2 + x + 1,27/2,30,-105,-45,195/2,-75/2,225/2,3/2,0,D(5),826281
x^5 + 10*x^4 + 9*x^3 + 4*x^2 + 1,-10,-135/2,-126,47,123/2,105,155/2,1/2,0,D(5),19936225
x^5 + 10*x^4 + 12*x^3 - 9*x^2 - 2*x + 1,53/2,-63,15/2,-101,381,495/2,70,1/2,0,D(5),27175369
x^5 + 10*x^4 + 19*x^3 + 7*x^2 - 7*x + 1,63/2,-216,123,731,1083/2,465/2,105/2,1/2,0,D(5),2122849
x^5 + 10*x^4 + 19*x^3 + 14*x^2 + 4*x + 1,-19,-117/2,30,227,543/2,180,105/2,1/2,0,D(5),1868689
x^5 + 11*x^4 - 23*x^3 + 13*x^2 - 2*x + 1,-57/2,267/2,39/2,-469,609,-477,357/2,1/2,0,D(5),81414529
x^5 + 11*x^4 + 6*x^3 + 3*x^2 - 5*x + 1,35/2,-135/2,-213/2,396,159/2,153/2,106,1/2,0,D(5),7491169
